attempt, points, estimate
1, 50, 13.44
2, 50, 11.04
3, 50, 12.96
4, 50, 12.96
5, 50, 11.04
6, 50, 13.92
7, 50, 11.52
8, 50, 12.96
9, 50, 12.96
10, 50, 9.6
11, 50, 12.48
12, 50, 11.04
13, 50, 11.52
14, 50, 11.04
15, 50, 11.52
16, 50, 13.92
17, 50, 10.08
18, 50, 12.96
19, 50, 14.88
20, 50, 14.4
21, 50, 13.92
22, 50, 15.36
23, 50, 13.44
24, 50, 14.4
25, 50, 8.16
26, 50, 12.96
27, 50, 12.96
28, 50, 12.96
29, 50, 14.4
30, 50, 12
31, 50, 12
32, 50, 10.56
33, 50, 9.12
34, 50, 11.52
35, 50, 12
36, 50, 10.56
37, 50, 10.56
38, 50, 10.08
39, 50, 14.4
40, 50, 12.96
41, 50, 10.08
42, 50, 11.52
43, 50, 12.48
44, 50, 13.92
45, 50, 13.92
46, 50, 13.44
47, 50, 14.88
48, 50, 11.04
49, 50, 12
50, 50, 9.12
1, 100, 10.56
2, 100, 12.48
3, 100, 10.56
4, 100, 12.48
5, 100, 11.76
6, 100, 12.48
7, 100, 12.96
8, 100, 12
9, 100, 13.2
10, 100, 11.28
11, 100, 11.76
12, 100, 10.32
13, 100, 13.68
14, 100, 10.32
15, 100, 10.56
16, 100, 12.24
17, 100, 11.76
18, 100, 13.44
19, 100, 12.24
20, 100, 13.2
21, 100, 11.76
22, 100, 12.48
23, 100, 12
24, 100, 13.2
25, 100, 11.52
26, 100, 13.92
27, 100, 12.24
28, 100, 11.52
29, 100, 12
30, 100, 10.56
31, 100, 9.6
32, 100, 10.32
33, 100, 11.04
34, 100, 11.04
35, 100, 11.76
36, 100, 12.72
37, 100, 11.76
38, 100, 11.52
39, 100, 12
40, 100, 12.72
41, 100, 13.92
42, 100, 12.72
43, 100, 11.28
44, 100, 12.48
45, 100, 12
46, 100, 13.44
47, 100, 13.68
48, 100, 13.44
49, 100, 11.76
50, 100, 13.2
1, 150, 11.84
2, 150, 12.8
3, 150, 11.36
4, 150, 12.48
5, 150, 11.52
6, 150, 13.28
7, 150, 12.16
8, 150, 11.52
9, 150, 11.52
10, 150, 11.52
11, 150, 12.48
12, 150, 11.52
13, 150, 13.12
14, 150, 12.8
15, 150, 10.08
16, 150, 11.52
17, 150, 12.16
18, 150, 10.4
19, 150, 12.64
20, 150, 12.32
21, 150, 11.84
22, 150, 13.12
23, 150, 12.48
24, 150, 12.16
25, 150, 12
26, 150, 12.96
27, 150, 12
28, 150, 11.2
29, 150, 11.84
30, 150, 12.8
31, 150, 12
32, 150, 12.8
33, 150, 11.36
34, 150, 11.68
35, 150, 11.52
36, 150, 12
37, 150, 12.32
38, 150, 13.28
39, 150, 13.76
40, 150, 10.56
41, 150, 9.76
42, 150, 10.4
43, 150, 11.36
44, 150, 12.48
45, 150, 12.96
46, 150, 12.48
47, 150, 12.16
48, 150, 12.48
49, 150, 10.56
50, 150, 12.16
1, 200, 13.08
2, 200, 10.68
3, 200, 10.2
4, 200, 12.24
5, 200, 9.72
6, 200, 13.08
7, 200, 12.24
8, 200, 13.32
9, 200, 12
10, 200, 12.48
11, 200, 10.8
12, 200, 12.96
