attempt, points, estimate
1, 50, 2.1362830044410597
2, 50, 2.0106192982974678
3, 50, 2.1362830044410597
4, 50, 2.0106192982974678
5, 50, 2.0106192982974678
1, 100, 1.6336281798666925
2, 100, 2.4504422698000385
3, 100, 2.0106192982974678
4, 100, 1.4451326206513047
5, 100, 1.6964600329384882
1, 150, 2.5132741228718345
2, 150, 2.303834612632515
3, 150, 2.4294983187761066
4, 150, 1.9268434942017396
5, 150, 2.220058808536787
1, 200, 2.0420352248333655
2, 200, 1.6336281798666925
3, 200, 1.9792033717615698
4, 200, 2.2305307840487534
5, 200, 2.261946710584651
1, 250, 1.6838936623241292
2, 250, 1.9100883333825942
3, 250, 2.2870794518133692
4, 250, 2.060884780754904
5, 250, 1.7090264035528475
1, 300, 1.9058995431778079
2, 300, 1.8430676901060117
3, 300, 1.9687313962496038
4, 300, 2.1362830044410592
5, 300, 2.0734511513692637
1, 350, 1.867003634133363
2, 350, 1.7772438440307974
3, 350, 2.0465232143384937
4, 350, 2.0465232143384937
5, 350, 2.0106192982974678
1, 400, 2.1676989309769574
2, 400, 2.0734511513692637
3, 400, 2.0106192982974678
4, 400, 2.0734511513692637
5, 400, 1.7278759594743862
1, 450, 2.1362830044410592
2, 450, 1.8430676901060121
3, 450, 1.9966566642815131
4, 450, 2.2479840765686965
5, 450, 1.954768762233649
1, 500, 1.9603538158400309
2, 500, 2.060884780754904
3, 500, 1.9603538158400309
4, 500, 2.1488493750554185
5, 500, 1.7844246272390025
1, 550, 1.9420754585827813
2, 550, 2.079163138012154
3, 550, 1.9877713517259052
4, 550, 1.7707158592960652
5, 550, 2.090587111297935
1, 600, 2.0525072003453313
2, 600, 1.7907078125461822
3, 600, 1.71740398396242
4, 600, 2.0315632493213993
5, 600, 2.0001473227855016
1, 650, 2.0976172487045694
2, 650, 1.9526206646927329
3, 650, 1.9526206646927329
4, 650, 2.145949443375182
5, 650, 1.9042884700221205
1, 700, 2.08242713037952
2, 700, 1.8490516761128495
3, 700, 2.0285712563179805
4, 700, 1.8849555921538759
5, 700, 1.9298354872051586
1, 750, 2.2116812281272145
2, 750, 2.0608847807549044
3, 750, 2.035752039526186
4, 750, 1.9854865570687492
5, 750, 2.0106192982974673
1, 800, 2.0655971697352893
2, 800, 1.8928095737878505
3, 800, 1.9870573533955442
4, 800, 1.8771016105199012
5, 800, 2.0106192982974678
1, 850, 2.091931108155086
2, 850, 1.9810513674401518
3, 850, 2.151066969869717
4, 850, 1.9958353328688097
5, 850, 1.9366994711541785
1, 900, 1.9128808601857852
2, 900, 1.8360863730980348
3, 900, 2.1013764194011726
4, 900, 2.024581932313422
5, 900, 2.017600615305445
1, 950, 2.0701442117339055
2, 950, 2.017233177568183
3, 950, 1.9510943848610296
4, 950, 1.9180249885074525
5, 950, 1.977549901943891
1, 1000, 2.0231856689118266
2, 1000, 1.8284069243892596
3, 1000, 1.9540706305328512
4, 1000, 1.8723892215395168
5, 1000, 2.035752039526186
1, 1050, 1.9986513262837924
2, 1050, 2.0584911863521693
3, 1050, 2.1542349624615724
4, 1050, 2.0166032843043054
5, 1050, 1.938811466215415
1, 1100, 1.9363634719398906
2, 1100, 2.102011084583716
3, 1100, 1.9649234051543434
4, 1100, 2.1591309510126218
5, 1100, 1.8392596990107515
1, 1150, 1.9723738225146352
2, 1150, 1.9177374285391606
3, 1150, 1.9505192649244454
4, 1150, 2.032473855887657
5, 1150, 2.0543284134778474
1, 1200, 1.9530234329816547
2, 1200, 1.9844393595175525
3, 1200, 2.0315632493213993
4, 1200, 1.9739673840055867
5, 1200, 1.9268434942017396
1, 1250, 2.020672394788955
2, 1250, 2.1161768114580846
3, 1250, 1.9100883333825942
4, 1250, 2.050831684263417
5, 1250, 1.9503007193485435
1, 1300, 2.150782662842243
2, 1300, 1.9526206646927329
3, 1300, 2.0057860788304063
4, 1300, 1.8511230558844471
5, 1300, 1.9671203230939167
1, 1350, 2.0199277209747706
2, 1350, 1.8709929581379212
3, 1350, 2.2759093446006053
4, 1350, 1.9268434942017396
5, 1350, 2.117666159086453
1, 1400, 2.0106192982974678
2, 1400, 2.0779391408743915
3, 1400, 1.9747153822564416
4, 1400, 2.1632109414718292
5, 1400, 2.190138878502599
1, 1450, 2.0279522232827905
2, 1450, 1.9152882108781912
3, 1450, 2.040951917021783
4, 1450, 2.118950079455736
5, 1450, 2.001952835804806
1, 1500, 1.9812977668639629
2, 1500, 2.1237166338267
3, 1500, 2.07763994157405
4, 1500, 1.9352210746113128
5, 1500, 1.9017107529730213
1, 1550, 1.9133312677346868
2, 1550, 1.9579216150759613
3, 1550, 1.9862972906567724
4, 1550, 2.0714243173992055
5, 1550, 1.8890092600939918
1, 1600, 1.9438604544086846
2, 1600, 1.9477874452256716
3, 1600, 2.0577431881013144
4, 1600, 2.061670178918302
5, 1600, 1.9909843442125312
1, 1650, 1.9230355031064794
2, 1650, 2.0639311736311123
3, 1650, 2.0525072003453317
4, 1650, 2.003003316106947
5, 1650, 1.9991953250116865
1, 1700, 1.9366994711541785
2, 1700, 1.9034355489396984
3, 1700, 2.054971194583441
4, 1700, 2.1141070562980726
5, 1700, 2.040187229154783
1, 1750, 1.9818961654646468
2, 1750, 1.9567634242359282
3, 1750, 1.9818961654646468
4, 1750, 1.9172691165907993
5, 1750, 2.0142096899015702
1, 1800, 2.014109956801456
2, 1800, 2.087413785385218
3, 1800, 2.045525883337354
4, 1800, 2.0734511513692633
5, 1800, 2.1258110289290935
1, 1850, 2.075149309560393
2, 1850, 2.085338258707171
3, 1850, 2.0683566767958745
4, 1850, 2.112508789765245
5, 1850, 2.064960360413615
1, 1900, 1.9676290830378178
2, 1900, 2.043688694651044
3, 1900, 2.086678909910694
4, 1900, 1.9907776604853216
5, 1900, 1.9279458074135256
1, 1950, 2.02028573723159
2, 1950, 1.997730713051971
3, 1950, 2.0750622245249506
4, 1950, 2.0718400782135764
5, 1950, 2.0460629077225834
1, 2000, 2.079734336676443
2, 2000, 2.098583892597982
3, 2000, 1.9697785938008003
4, 2000, 2.079734336676443
5, 2000, 1.97606177910798
1, 2050, 1.9554498663319884
2, 2050, 2.0136842667399946
3, 2050, 2.038204014280207
4, 2050, 1.9799696138722012
5, 2050, 2.059658793377894
1, 2100, 2.16021894846841
2, 2100, 2.0824271303795197
3, 2100, 1.9806993682632792
4, 2100, 2.0106192982974678
5, 2100, 1.9836913612666978
1, 2150, 1.9667831217357497
2, 2150, 2.0106192982974673
3, 2150, 2.028153768922155
4, 2150, 1.8498866509045013
5, 2150, 2.028153768922155
1, 2200, 1.9906273450473508
2, 2200, 1.973491385118679
3, 2200, 1.9449314519042264
4, 2200, 2.0106192982974673
5, 2200, 1.970635391797234
1, 2250, 2.0441296199357586
2, 2250, 1.9882790838719404
3, 2250, 1.9826940302655582
4, 2250, 1.9463911818240764
5, 2250, 1.9631463426432216
1, 2300, 1.9942283801048253
2, 2300, 1.84397829667227
3, 2300, 2.0434011346827528
4, 2300, 1.8740283133587812
5, 2300, 2.1116966271520954
1, 2350, 2.04537734467761
2, 2350, 1.9731875560419296
3, 2350, 2.0908301745593345
4, 2350, 2.0025982106712807
5, 2350, 1.8582186333999202
1, 2400, 1.9504054391036634
2, 2400, 2.028945255443408
3, 2400, 1.9425514574696887
4, 2400, 1.9713493901275951
5, 2400, 1.9949113350295185
1, 2450, 2.00036103657146
2, 2450, 1.9516342933729245
3, 2450, 1.979844513119445
4, 2450, 1.9541988588044263
5, 2450, 2.0670397377905085
1, 2500, 1.9352210746113128
2, 2500, 1.9729201864543902
3, 2500, 2.020672394788955
4, 2500, 1.9955396535602365
5, 2500, 1.9804600088230053
1, 2550, 1.9909073443925904
2, 2550, 2.027867257964235
3, 2550, 2.0106192982974673
4, 2550, 2.067291165773989
5, 2550, 1.9219155057255204
1, 2600, 1.9792033717615696
2, 2600, 2.0299521761657124
3, 2600, 2.0420352248333655
4, 2600, 1.8511230558844471
5, 2600, 2.044451834566896
1, 2650, 1.9276338319762276
2, 2650, 1.842277352331524
3, 2650, 1.913407752035444
4, 2650, 2.0936047646187075
5, 2650, 2.0011352450036117
1, 2700, 1.9664042905802779
2, 2700, 2.096722208062521
3, 2700, 2.1037035250704985
4, 2700, 2.015273509636119
5, 2700, 2.0315632493213998
1, 2750, 2.01518888761178
2, 2750, 2.047176012811967
3, 2750, 1.9626386104971871
4, 2750, 2.024328066240405
5, 2750, 1.9969105303545303
1, 2800, 2.0106192982974678
2, 2800, 2.0038873140397753
3, 2800, 1.9522754347308
4, 2800, 2.1003790884000333
5, 2800, 2.001643319287211
1, 2850, 1.9863684076381778
2, 2850, 2.0480979474981877
3, 2850, 2.0018007926031802
4, 2850, 1.9643221434024603
5, 2850, 2.02605168326247
1, 2900, 1.9737868327036563
2, 2900, 2.0799509982387594
3, 2900, 2.0301188389059557
4, 2900, 2.0214523764132943
5, 2900, 1.9196214421245217
1, 2950, 2.0936851379517063
2, 2950, 1.9275534586432288
3, 2950, 1.9999698316751293
4, 2950, 1.9786708984304529
5, 2950, 2.014879084946403
1, 3000, 2.054601595447725
2, 3000, 2.006430508092681
3, 3000, 2.067167966062084
4, 3000, 1.939409864816099
5, 3000, 1.8891443823586624
1, 3050, 1.994138812245849
2, 3050, 1.942637293334541
3, 3050, 2.070361060234585
4, 3050, 2.0023790552716583
5, 3050, 1.938517171821636
1, 3100, 2.0531828116686843
2, 3100, 1.9254922715550347
3, 3100, 1.972109452866367
4, 3100, 1.9518411131657876
5, 3100, 2.036968139908221
1, 3150, 1.964742072245045
2, 3150, 1.9946620022792336
3, 3150, 1.962747410242766
4, 3150, 2.074448482370403
5, 3150, 2.074448482370403
1, 3200, 2.02829075697391
2, 3200, 1.967422399310608
3, 3200, 2.008655802888974
4, 3200, 2.091122610045706
5, 3200, 2.008655802888974
1, 3250, 2.016419161657941
2, 3250, 1.9661536792005043
3, 3250, 2.0106192982974673
4, 3250, 2.0183524494447656
5, 3250, 1.9719535425609778
1, 3300, 1.9154195209159588
2, 3300, 1.8944755698920268
3, 3300, 2.004907311654577
4, 3300, 2.056315191440592
5, 3300, 1.9991953250116865
1, 3350, 2.0425041192592746
2, 3350, 2.0612598962956317
3, 3350, 1.9449740786702183
4, 3350, 1.9618542780029395
5, 3350, 1.946849656373854
1, 3400, 2.1048670779051615
2, 3400, 1.9939873371902275
3, 3400, 1.9477874452256716
4, 3400, 2.0272512594047076
5, 3400, 2.093779103833668
1, 3450, 1.997870806369857
2, 3450, 1.9468768386594137
3, 3450, 1.9778374619121828
4, 3450, 2.036116282152689
5, 3450, 1.985122314442246
1, 3500, 1.9172691165907993
2, 3500, 1.983691361266698
3, 3500, 2.0052337108913134
4, 3500, 2.077041542973366
5, 3500, 2.04113762693234
1, 3550, 1.9929201847561167
2, 3550, 1.8637166559042548
3, 3550, 1.9451325781944693
4, 3550, 1.9911502734019817
5, 3550, 2.074336107046331
1, 3600, 1.9181168479417683
2, 3600, 2.0106192982974678
3, 3600, 2.0786871391252464
4, 3600, 2.089159114637212
5, 3600, 1.9687313962496036
1, 3650, 1.9813551475516997
2, 3650, 1.9882408300801158
3, 3650, 2.1052974330631873
4, 3650, 2.0502119728358594
5, 3650, 1.936598211116996
1, 3700, 1.9392966542700236
2, 3700, 1.9477874452256718
3, 3700, 2.014015614679727
4, 3700, 1.9936377163861714
5, 3700, 2.0208082474442453
1, 3750, 2.015645846543211
2, 3750, 2.05920926467299
3, 3750, 2.027374459116613
4, 3750, 2.0558582325091606
5, 3750, 1.9921886213964075
1, 3800, 1.9626686735847814
2, 3800, 2.025500526656577
3, 3800, 2.0106192982974673
4, 3800, 1.9676290830378178
5, 3800, 2.0635303324631904
1, 3850, 2.0546831952569087
2, 3850, 1.9551314280522454
3, 3850, 1.891483576888608
4, 3850, 2.056315191440592
5, 3850, 1.9486034433175132
1, 3900, 2.0766732976806375
2, 3900, 2.0347853956327735
3, 3900, 1.9816199814951
4, 3900, 1.994508566740597
5, 3900, 2.063784712435141
1, 3950, 1.9851684211038287
2, 3950, 1.989940460577636
3, 3950, 1.967670943033202
4, 3950, 2.061521052684745
5, 3950, 1.9390387061903582
1, 4000, 2.004336112990288
2, 4000, 2.0404644285065707
3, 4000, 2.0074777056438777
4, 4000, 2.0310396505458015
5, 4000, 1.9839157607419542
1, 4050, 1.9687313962496036
2, 4050, 1.9687313962496036
3, 4050, 1.996656664281513
4, 4050, 1.9656285886905025
5, 4050, 1.960974377351851
1, 4100, 2.038204014280207
2, 4100, 1.9707747085446214
3, 4100, 1.969242224323358
4, 4100, 1.9906970034210445
5, 4100, 1.9922294876423077
1, 4150, 1.9424883732798577
2, 4150, 2.042413729972352
3, 4150, 2.033329606636671
4, 4150, 2.0969184699864405
5, 4150, 2.0121333188534143
1, 4200, 1.949283441727381
2, 4200, 1.9612514137410566
3, 4200, 2.0106192982974678
4, 4200, 1.934323476710287
5, 4200, 1.9627474102427658
1, 4250, 1.9352210746113123
2, 4250, 1.9854865570687492
3, 4250, 2.091931108155086
