attempt, points, estimate
1, 50, 2.1362830044410597
2, 50, 2.0106192982974678
3, 50, 2.1362830044410597
4, 50, 2.0106192982974678
5, 50, 2.0106192982974678
6, 50, 1.7592918860102842
7, 50, 1.5079644737231006
8, 50, 2.261946710584651
9, 50, 2.6389378290154264
10, 50, 1.8849555921538756
11, 50, 2.1362830044410597
12, 50, 1.7592918860102842
13, 50, 1.1309733552923256
14, 50, 1.8849555921538756
15, 50, 1.5079644737231006
16, 50, 3.141592653589793
17, 50, 1.7592918860102842
18, 50, 2.6389378290154264
19, 50, 2.5132741228718345
20, 50, 2.0106192982974678
21, 50, 2.3876104167282426
22, 50, 2.6389378290154264
23, 50, 2.0106192982974678
24, 50, 2.6389378290154264
25, 50, 1.5079644737231006
26, 50, 2.3876104167282426
27, 50, 1.8849555921538756
28, 50, 2.1362830044410597
29, 50, 2.3876104167282426
30, 50, 2.1362830044410597
31, 50, 2.0106192982974678
32, 50, 1.7592918860102842
33, 50, 2.0106192982974678
34, 50, 2.3876104167282426
35, 50, 2.1362830044410597
36, 50, 1.8849555921538756
37, 50, 0.8796459430051421
38, 50, 1.6336281798666925
39, 50, 2.6389378290154264
40, 50, 2.0106192982974678
41, 50, 1.6336281798666925
42, 50, 1.6336281798666925
43, 50, 2.261946710584651
44, 50, 2.6389378290154264
45, 50, 2.0106192982974678
46, 50, 2.0106192982974678
47, 50, 2.3876104167282426
48, 50, 2.0106192982974678
49, 50, 2.6389378290154264
50, 50, 2.0106192982974678
1, 100, 1.8849555921538756
2, 100, 1.6336281798666925
3, 100, 1.5707963267948966
4, 100, 1.8849555921538756
5, 100, 2.0106192982974678
6, 100, 2.199114857512855
7, 100, 2.261946710584651
8, 100, 2.199114857512855
9, 100, 2.324778563656447
10, 100, 1.8849555921538756
11, 100, 1.7592918860102842
12, 100, 1.5079644737231006
13, 100, 2.199114857512855
14, 100, 1.6964600329384882
15, 100, 1.7592918860102842
16, 100, 1.8221237390820801
17, 100, 1.6336281798666925
18, 100, 1.8849555921538756
19, 100, 2.0734511513692637
20, 100, 2.324778563656447
21, 100, 1.8849555921538756
22, 100, 2.1362830044410597
23, 100, 2.3876104167282426
24, 100, 1.8221237390820801
25, 100, 1.5079644737231006
26, 100, 2.3876104167282426
27, 100, 2.1362830044410597
28, 100, 1.9477874452256716
29, 100, 2.1362830044410597
30, 100, 1.8221237390820801
31, 100, 1.7592918860102842
32, 100, 1.5079644737231006
33, 100, 1.9477874452256716
34, 100, 1.6964600329384882
35, 100, 2.0106192982974678
36, 100, 2.1362830044410597
37, 100, 1.8849555921538756
38, 100, 2.199114857512855
39, 100, 1.8221237390820801
40, 100, 2.0106192982974678
41, 100, 2.261946710584651
42, 100, 2.199114857512855
43, 100, 2.0106192982974678
44, 100, 2.261946710584651
45, 100, 1.6336281798666925
46, 100, 2.57610597594363
47, 100, 2.199114857512855
48, 100, 2.1362830044410597
49, 100, 1.7592918860102842
50, 100, 2.199114857512855
1, 150, 1.9687313962496038
2, 150, 2.0943951023931957
3, 150, 1.8849555921538759
4, 150, 1.9687313962496038
5, 150, 2.261946710584651
6, 150, 2.0525072003453313
7, 150, 2.1362830044410592
8, 150, 1.801179788058148
9, 150, 1.71740398396242
10, 150, 1.6755160819145563
11, 150, 2.3876104167282426
12, 150, 1.9687313962496038
13, 150, 2.0525072003453313
14, 150, 2.1362830044410592
15, 150, 1.5917402778188283
16, 150, 1.801179788058148
17, 150, 2.0106192982974678
18, 150, 1.8849555921538759
19, 150, 2.0943951023931957
20, 150, 2.261946710584651
21, 150, 1.9268434942017396
22, 150, 2.5551620249196985
23, 150, 1.8849555921538759
24, 150, 2.1362830044410592
25, 150, 1.8430676901060117
26, 150, 2.1362830044410592
27, 150, 2.1362830044410592
28, 150, 1.71740398396242
29, 150, 1.8430676901060117
30, 150, 2.3876104167282426
31, 150, 1.5079644737231006
32, 150, 2.5551620249196985
33, 150, 1.7592918860102842
34, 150, 1.9687313962496038
35, 150, 1.9268434942017396
36, 150, 2.261946710584651
37, 150, 2.0106192982974678
38, 150, 2.1362830044410592
39, 150, 2.345722514680379
40, 150, 1.6755160819145563
41, 150, 1.382300767579509
42, 150, 1.7592918860102842
43, 150, 1.9268434942017396
44, 150, 2.0943951023931957
45, 150, 2.0525072003453313
46, 150, 2.0943951023931957
47, 150, 2.303834612632515
48, 150, 2.0943951023931957
49, 150, 1.71740398396242
50, 150, 2.5970499269675624
1, 200, 1.9792033717615698
2, 200, 1.5393804002589986
3, 200, 1.5079644737231006
4, 200, 2.1048670779051615
5, 200, 1.6964600329384882
6, 200, 2.199114857512855
7, 200, 1.9792033717615698
8, 200, 2.1362830044410597
9, 200, 2.0420352248333655
10, 200, 2.293362637120549
11, 200, 1.6022122533307945
12, 200, 2.2305307840487534
13, 200, 1.288052987971815
14, 200, 2.0420352248333655
15, 200, 1.6964600329384882
16, 200, 1.6022122533307945
17, 200, 1.853539665617978
18, 200, 2.1676989309769574
19, 200, 1.853539665617978
20, 200, 2.356194490192345
21, 200, 1.6650441064025905
22, 200, 2.1362830044410597
23, 200, 1.9477874452256716
24, 200, 2.1362830044410597
25, 200, 1.9792033717615698
26, 200, 2.1048670779051615
27, 200, 2.0106192982974678
28, 200, 2.1048670779051615
29, 200, 1.8221237390820801
30, 200, 1.790707812546182
31, 200, 2.0106192982974678
32, 200, 2.0106192982974678
33, 200, 2.2305307840487534
34, 200, 2.1048670779051615
35, 200, 2.2305307840487534
36, 200, 1.8849555921538756
37, 200, 1.853539665617978
38, 200, 2.0734511513692637
39, 200, 2.0420352248333655
40, 200, 1.7592918860102842
41, 200, 2.1362830044410597
42, 200, 2.1676989309769574
43, 200, 1.9163715186897738
44, 200, 1.9477874452256716
45, 200, 1.9163715186897738
46, 200, 1.7592918860102842
47, 200, 1.853539665617978
48, 200, 2.261946710584651
49, 200, 1.8849555921538756
50, 200, 2.0420352248333655
1, 250, 1.7090264035528475
2, 250, 1.9854865570687494
3, 250, 1.8849555921538759
4, 250, 1.9854865570687494
5, 250, 1.9100883333825942
6, 250, 2.111150263212341
7, 250, 2.387610416728243
8, 250, 2.1362830044410592
9, 250, 1.9603538158400309
10, 250, 2.261946710584651
11, 250, 1.9603538158400309
12, 250, 1.7844246272390025
13, 250, 2.2870794518133692
14, 250, 2.035752039526186
15, 250, 2.060884780754904
16, 250, 1.8849555921538759
17, 250, 2.0106192982974678
18, 250, 2.111150263212341
19, 250, 2.161415745669778
20, 250, 1.7592918860102842
21, 250, 1.9100883333825942
22, 250, 1.9854865570687494
23, 250, 2.236813969355933
24, 250, 1.9854865570687494
25, 250, 1.9603538158400309
26, 250, 1.7844246272390025
27, 250, 1.9100883333825942
28, 250, 2.0106192982974678
29, 250, 1.8095573684677209
30, 250, 2.186548486898496
31, 250, 1.8346901096964392
32, 250, 1.8346901096964392
33, 250, 1.9352210746113125
34, 250, 1.9100883333825942
35, 250, 2.211681228127214
36, 250, 1.9603538158400309
37, 250, 2.0106192982974678
38, 250, 1.8346901096964392
39, 250, 2.5132741228718345
40, 250, 1.8095573684677209
41, 250, 2.1362830044410592
42, 250, 2.186548486898496
43, 250, 1.7844246272390025
44, 250, 2.035752039526186
45, 250, 2.161415745669778
46, 250, 2.161415745669778
47, 250, 1.8849555921538759
48, 250, 2.211681228127214
49, 250, 2.161415745669778
50, 250, 1.9100883333825942
1, 300, 2.0525072003453313
2, 300, 1.7592918860102842
3, 300, 2.1362830044410592
4, 300, 1.9058995431778079
5, 300, 1.82212373908208
6, 300, 2.0106192982974678
7, 300, 1.7383479349863524
8, 300, 1.5079644737231006
9, 300, 2.0734511513692637
10, 300, 1.9268434942017396
11, 300, 2.1153390534171272
12, 300, 2.303834612632515
13, 300, 1.7383479349863524
14, 300, 2.220058808536787
15, 300, 1.9268434942017396
16, 300, 2.178170906488923
17, 300, 2.0734511513692637
18, 300, 2.0315632493213993
19, 300, 2.0525072003453313
20, 300, 2.220058808536787
21, 300, 2.0106192982974678
22, 300, 2.178170906488923
23, 300, 1.9058995431778079
24, 300, 1.9058995431778079
25, 300, 1.9687313962496038
26, 300, 1.7592918860102842
27, 300, 2.0525072003453313
28, 300, 1.9896753472735358
29, 300, 1.8430676901060117
30, 300, 1.9477874452256716
31, 300, 1.9268434942017396
32, 300, 1.9268434942017396
33, 300, 1.9687313962496038
34, 300, 2.199114857512855
35, 300, 1.82212373908208
36, 300, 2.241002759560719
37, 300, 1.8430676901060117
38, 300, 1.9058995431778079
39, 300, 1.7592918860102842
40, 300, 1.801179788058148
41, 300, 1.8430676901060117
42, 300, 1.9268434942017396
43, 300, 2.0525072003453313
44, 300, 2.199114857512855
45, 300, 1.9268434942017396
46, 300, 1.6336281798666923
47, 300, 2.0734511513692637
48, 300, 2.303834612632515
49, 300, 1.8849555921538759
50, 300, 1.6964600329384882
1, 350, 1.8849555921538759
2, 350, 2.0285712563179805
3, 350, 2.08242713037952
4, 350, 2.2080908365231116
5, 350, 1.8310997180923365
6, 350, 2.1362830044410592
7, 350, 2.2080908365231116
8, 350, 2.243994752564138
9, 350, 2.0106192982974678
10, 350, 2.08242713037952
11, 350, 2.0465232143384937
12, 350, 1.920859508194902
13, 350, 2.1542349624615724
14, 350, 1.759291886010284
15, 350, 1.902907550174389
16, 350, 1.9926673402769546
17, 350, 1.902907550174389
18, 350, 1.938811466215415
19, 350, 2.0285712563179805
20, 350, 2.064475172359007
21, 350, 1.9926673402769546
22, 350, 2.3337545426667035
23, 350, 1.938811466215415
24, 350, 1.9567634242359282
25, 350, 2.064475172359007
26, 350, 2.0465232143384937
27, 350, 2.1721869204820856
28, 350, 2.064475172359007
29, 350, 1.6515801378872055
30, 350, 1.920859508194902
31, 350, 1.8310997180923365
32, 350, 2.190138878502599
33, 350, 1.8849555921538759
34, 350, 1.938811466215415
35, 350, 1.7951958020513104
36, 350, 1.7772438440307974
37, 350, 2.118331046420546
38, 350, 2.064475172359007
39, 350, 1.8490516761128495
40, 350, 2.0106192982974678
41, 350, 2.064475172359007
42, 350, 2.1003790884000333
43, 350, 1.9567634242359282
44, 350, 2.0285712563179805
45, 350, 2.2798986686051643
46, 350, 1.867003634133363
47, 350, 1.9567634242359282
48, 350, 1.6336281798666925
49, 350, 2.08242713037952
50, 350, 1.9926673402769546
1, 400, 2.0106192982974678
2, 400, 2.0734511513692637
3, 400, 2.0577431881013144
4, 400, 1.8221237390820801
5, 400, 1.9634954084936205
6, 400, 2.2305307840487534
7, 400, 2.1205750411731104
8, 400, 2.0263272615654166
9, 400, 1.837831702350029
10, 400, 1.8849555921538756
11, 400, 2.0106192982974678
12, 400, 1.837831702350029
13, 400, 1.9634954084936205
14, 400, 1.7121679962064371
15, 400, 2.0891591146372126
16, 400, 2.309070600388498
17, 400, 2.1205750411731104
18, 400, 2.0891591146372126
19, 400, 2.0891591146372126
20, 400, 1.853539665617978
21, 400, 2.0420352248333655
22, 400, 1.8221237390820801
23, 400, 1.9163715186897738
24, 400, 2.0420352248333655
25, 400, 2.2305307840487534
26, 400, 1.8849555921538756
27, 400, 2.0577431881013144
28, 400, 1.9163715186897738
29, 400, 2.0420352248333655
30, 400, 2.0263272615654166
31, 400, 2.261946710584651
32, 400, 1.9792033717615698
33, 400, 2.0263272615654166
34, 400, 2.0734511513692637
35, 400, 1.837831702350029
36, 400, 2.261946710584651
37, 400, 1.9163715186897738
38, 400, 1.9477874452256716
39, 400, 1.6493361431346414
40, 400, 1.9163715186897738
41, 400, 1.9792033717615698
42, 400, 1.8064157758141313
43, 400, 2.0420352248333655
44, 400, 1.9949113350295187
45, 400, 1.9792033717615698
46, 400, 1.9634954084936205
47, 400, 1.9949113350295187
48, 400, 1.9949113350295187
49, 400, 1.5707963267948966
50, 400, 2.0577431881013144
1, 450, 2.0525072003453317
2, 450, 2.2759093446006053
3, 450, 2.4015730507441972
4, 450, 2.150245638457014
5, 450, 1.9268434942017398
6, 450, 2.0664698343612864
7, 450, 1.7872171540421935
8, 450, 1.9268434942017398
9, 450, 2.150245638457014
10, 450, 2.2759093446006053
11, 450, 2.192133540504878
12, 450, 1.9128808601857852
13, 450, 1.9268434942017398
14, 450, 2.0664698343612864
15, 450, 2.10835773640915
16, 450, 2.024581932313422
17, 450, 1.9826940302655585
18, 450, 1.8709929581379212
19, 450, 1.954768762233649
20, 450, 2.415535684760152
21, 450, 1.8570303241219666
22, 450, 2.261946710584651
23, 450, 2.28987197861656
24, 450, 2.261946710584651
25, 450, 2.10835773640915
26, 450, 1.9687313962496036
27, 450, 2.192133540504878
28, 450, 2.0943951023931953
29, 450, 1.8151424220741026
30, 450, 1.9826940302655585
31, 450, 1.7732545200262388
32, 450, 2.0525072003453317
33, 450, 2.150245638457014
34, 450, 2.192133540504878
35, 450, 1.8291050560900575
36, 450, 1.9826940302655585
37, 450, 2.150245638457014
38, 450, 2.0943951023931953
39, 450, 1.9966566642815131
40, 450, 2.2060961745208325
41, 450, 1.7453292519943293
42, 450, 2.0664698343612864
43, 450, 2.10835773640915
