attempt, points, estimate
1, 50, 0.14
2, 50, 0.2
3, 50, 0.14
4, 50, 0.22
5, 50, 0.12
6, 50, 0.24
7, 50, 0.14
8, 50, 0.2
9, 50, 0.28
10, 50, 0.18
11, 50, 0.16
12, 50, 0.14
13, 50, 0.2
14, 50, 0.22
15, 50, 0.14
16, 50, 0.28
17, 50, 0.16
18, 50, 0.18
19, 50, 0.22
20, 50, 0.2
21, 50, 0.28
22, 50, 0.22
23, 50, 0.22
24, 50, 0.34
25, 50, 0.12
26, 50, 0.16
27, 50, 0.22
28, 50, 0.3
29, 50, 0.22
30, 50, 0.26
31, 50, 0.24
32, 50, 0.2
33, 50, 0.12
34, 50, 0.18
35, 50, 0.18
36, 50, 0.14
37, 50, 0.1
38, 50, 0.16
39, 50, 0.26
40, 50, 0.14
41, 50, 0.1
42, 50, 0.18
43, 50, 0.14
44, 50, 0.32
45, 50, 0.2
46, 50, 0.2
47, 50, 0.2
48, 50, 0.18
49, 50, 0.26
50, 50, 0.22
1, 100, 0.21
2, 100, 0.17
3, 100, 0.16
4, 100, 0.22
5, 100, 0.25
6, 100, 0.22
7, 100, 0.19
8, 100, 0.19
9, 100, 0.22
10, 100, 0.17
11, 100, 0.16
12, 100, 0.16
13, 100, 0.26
14, 100, 0.15
15, 100, 0.19
16, 100, 0.2
17, 100, 0.13
18, 100, 0.21
19, 100, 0.23
20, 100, 0.23
21, 100, 0.22
22, 100, 0.22
23, 100, 0.22
24, 100, 0.22
25, 100, 0.18
26, 100, 0.23
27, 100, 0.17
28, 100, 0.23
29, 100, 0.25
30, 100, 0.16
31, 100, 0.17
32, 100, 0.16
33, 100, 0.17
34, 100, 0.24
35, 100, 0.18
36, 100, 0.21
37, 100, 0.16
38, 100, 0.26
39, 100, 0.19
40, 100, 0.23
41, 100, 0.21
42, 100, 0.21
43, 100, 0.19
44, 100, 0.28
45, 100, 0.15
46, 100, 0.22
47, 100, 0.19
48, 100, 0.26
49, 100, 0.18
50, 100, 0.2
1, 150, 0.20666666666666667
2, 150, 0.22
3, 150, 0.18666666666666668
4, 150, 0.16666666666666666
5, 150, 0.18
6, 150, 0.25333333333333335
7, 150, 0.24666666666666667
8, 150, 0.19333333333333333
9, 150, 0.15333333333333332
10, 150, 0.18
11, 150, 0.26
12, 150, 0.14666666666666667
13, 150, 0.18666666666666668
14, 150, 0.19333333333333333
15, 150, 0.16
16, 150, 0.13333333333333333
17, 150, 0.17333333333333334
18, 150, 0.18666666666666668
19, 150, 0.2
20, 150, 0.22666666666666666
21, 150, 0.18
22, 150, 0.2
23, 150, 0.19333333333333333
24, 150, 0.20666666666666667
25, 150, 0.16666666666666666
26, 150, 0.21333333333333335
27, 150, 0.20666666666666667
28, 150, 0.16666666666666666
29, 150, 0.16666666666666666
30, 150, 0.20666666666666667
31, 150, 0.13333333333333333
32, 150, 0.25333333333333335
33, 150, 0.20666666666666667
34, 150, 0.18
35, 150, 0.17333333333333334
36, 150, 0.22666666666666666
37, 150, 0.18
38, 150, 0.20666666666666667
39, 150, 0.24
40, 150, 0.14666666666666667
41, 150, 0.12
42, 150, 0.2
43, 150, 0.20666666666666667
44, 150, 0.21333333333333335
45, 150, 0.2
46, 150, 0.23333333333333334
47, 150, 0.21333333333333335
48, 150, 0.24666666666666667
49, 150, 0.18666666666666668
50, 150, 0.26
1, 200, 0.205
2, 200, 0.175
3, 200, 0.16
4, 200, 0.235
5, 200, 0.185
6, 200, 0.275
7, 200, 0.215
8, 200, 0.165
9, 200, 0.195
10, 200, 0.23
11, 200, 0.21
12, 200, 0.175
13, 200, 0.145
14, 200, 0.2
15, 200, 0.125
16, 200, 0.13
17, 200, 0.195
18, 200, 0.17
19, 200, 0.155
20, 200, 0.235
21, 200, 0.2
22, 200, 0.2
23, 200, 0.19
24, 200, 0.245
25, 200, 0.21
26, 200, 0.215
27, 200, 0.22
28, 200, 0.18
29, 200, 0.2
30, 200, 0.21
31, 200, 0.2
32, 200, 0.16
33, 200, 0.23
34, 200, 0.205
35, 200, 0.235
36, 200, 0.175
37, 200, 0.165
38, 200, 0.185
39, 200, 0.18
40, 200, 0.24
41, 200, 0.22
42, 200, 0.215
43, 200, 0.17
44, 200, 0.205
45, 200, 0.165
46, 200, 0.175
47, 200, 0.175
48, 200, 0.17
49, 200, 0.165
50, 200, 0.215
1, 250, 0.14
2, 250, 0.224
3, 250, 0.22
4, 250, 0.192
5, 250, 0.228
6, 250, 0.212
7, 250, 0.216
8, 250, 0.212
9, 250, 0.16
10, 250, 0.256
11, 250, 0.18
12, 250, 0.192
13, 250, 0.24
14, 250, 0.176
15, 250, 0.244
16, 250, 0.212
17, 250, 0.22
18, 250, 0.184
19, 250, 0.22
20, 250, 0.172
21, 250, 0.188
22, 250, 0.188
23, 250, 0.2
24, 250, 0.216
25, 250, 0.192
26, 250, 0.168
27, 250, 0.236
28, 250, 0.196
29, 250, 0.172
30, 250, 0.208
31, 250, 0.196
32, 250, 0.2
33, 250, 0.2
34, 250, 0.148
35, 250, 0.2
36, 250, 0.204
37, 250, 0.192
38, 250, 0.196
39, 250, 0.22
40, 250, 0.192
41, 250, 0.264
42, 250, 0.216
43, 250, 0.172
44, 250, 0.208
45, 250, 0.212
46, 250, 0.176
47, 250, 0.18
48, 250, 0.2
49, 250, 0.204
50, 250, 0.196
1, 300, 0.23666666666666666
2, 300, 0.17333333333333334
3, 300, 0.21
4, 300, 0.24
5, 300, 0.18333333333333332
6, 300, 0.18666666666666668
7, 300, 0.17666666666666667
8, 300, 0.13
9, 300, 0.22
10, 300, 0.18333333333333332
11, 300, 0.22333333333333333
12, 300, 0.22666666666666666
13, 300, 0.19
14, 300, 0.19666666666666666
15, 300, 0.18
16, 300, 0.19333333333333333
17, 300, 0.21666666666666667
18, 300, 0.19333333333333333
19, 300, 0.17
20, 300, 0.2
21, 300, 0.19
22, 300, 0.18
23, 300, 0.17
24, 300, 0.18333333333333332
25, 300, 0.21666666666666667
26, 300, 0.18666666666666668
27, 300, 0.21333333333333335
28, 300, 0.20333333333333334
29, 300, 0.20666666666666667
30, 300, 0.21
31, 300, 0.19
32, 300, 0.17
33, 300, 0.19666666666666666
34, 300, 0.18333333333333332
35, 300, 0.2
36, 300, 0.23666666666666666
37, 300, 0.16666666666666666
38, 300, 0.21
39, 300, 0.16
40, 300, 0.18666666666666668
41, 300, 0.19666666666666666
42, 300, 0.21333333333333335
43, 300, 0.20333333333333334
44, 300, 0.2733333333333333
45, 300, 0.17
46, 300, 0.21
47, 300, 0.20666666666666667
48, 300, 0.21333333333333335
49, 300, 0.19
50, 300, 0.17
1, 350, 0.23142857142857143
2, 350, 0.19714285714285715
3, 350, 0.21428571428571427
4, 350, 0.21714285714285714
5, 350, 0.1742857142857143
6, 350, 0.21428571428571427
7, 350, 0.24285714285714285
8, 350, 0.22857142857142856
9, 350, 0.2057142857142857
10, 350, 0.19142857142857142
11, 350, 0.22
12, 350, 0.24857142857142858
13, 350, 0.19142857142857142
14, 350, 0.19428571428571428
15, 350, 0.2057142857142857
16, 350, 0.24285714285714285
17, 350, 0.2057142857142857
18, 350, 0.19142857142857142
19, 350, 0.19714285714285715
20, 350, 0.22857142857142856
21, 350, 0.18571428571428572
22, 350, 0.22857142857142856
23, 350, 0.18571428571428572
24, 350, 0.16857142857142857
25, 350, 0.22
26, 350, 0.18285714285714286
27, 350, 0.2342857142857143
28, 350, 0.21428571428571427
29, 350, 0.15428571428571428
30, 350, 0.19142857142857142
31, 350, 0.16857142857142857
32, 350, 0.22285714285714286
33, 350, 0.20857142857142857
34, 350, 0.22285714285714286
35, 350, 0.18
36, 350, 0.1657142857142857
37, 350, 0.2057142857142857
38, 350, 0.20857142857142857
39, 350, 0.18857142857142858
40, 350, 0.22285714285714286
41, 350, 0.21142857142857144
42, 350, 0.2342857142857143
43, 350, 0.16857142857142857
44, 350, 0.21142857142857144
45, 350, 0.24285714285714285
46, 350, 0.18
47, 350, 0.21142857142857144
48, 350, 0.16
49, 350, 0.21142857142857144
50, 350, 0.19142857142857142
1, 400, 0.2125
2, 400, 0.225
3, 400, 0.2
4, 400, 0.2025
5, 400, 0.2025
6, 400, 0.225
7, 400, 0.2025
8, 400, 0.1925
9, 400, 0.1825
10, 400, 0.1875
11, 400, 0.2275
12, 400, 0.205
13, 400, 0.2
14, 400, 0.18
15, 400, 0.2375
16, 400, 0.2175
17, 400, 0.18
18, 400, 0.21
19, 400, 0.2125
20, 400, 0.1875
21, 400, 0.215
22, 400, 0.1875
23, 400, 0.21
24, 400, 0.1825
25, 400, 0.22
26, 400, 0.1775
27, 400, 0.185
28, 400, 0.1975
29, 400, 0.23
30, 400, 0.225
31, 400, 0.24
32, 400, 0.215
33, 400, 0.18
34, 400, 0.235
35, 400, 0.185
36, 400, 0.215
37, 400, 0.2075
38, 400, 0.1875
39, 400, 0.15
40, 400, 0.1825
41, 400, 0.165
42, 400, 0.2
43, 400, 0.205
44, 400, 0.2075
45, 400, 0.2125
46, 400, 0.205
47, 400, 0.22
48, 400, 0.21
49, 400, 0.14
50, 400, 0.2125
1, 450, 0.23555555555555555
2, 450, 0.22
3, 450, 0.26
4, 450, 0.2
5, 450, 0.18666666666666668
